gtdb_species_clade_id,env_broad_scale,n_genomes_in_env
s__Enterococcus_faecalis--RS_GCF_000392875.1,biome,9
s__Blautia_A_massiliensis--RS_GCF_001487165.1,terrestrial biome,4
s__Bacillus_velezensis--RS_GCF_001461825.1,biome,12
s__Fimenecus_sp000432435--GB_GCA_000432435.1,anthropogenic terrestrial biome,6
s__Bacteroides_ovatus--RS_GCF_001314995.1,human-associated habitat,2
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,farm,3
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,cropland biome,1
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,watercourse,2
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,air conditioning unit,1
s__Streptococcus_anginosus--RS_GCF_900636475.1,,30
s__Streptococcus_equi--GB_GCA_900637675.1,,3
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,terrestrial biome,3
s__Enterococcus_B_lactis--RS_GCF_015751045.1,temperate broadleaf forest,1
s__Streptococcus_agalactiae--RS_GCF_000186445.1,terrestrial biome,1
s__Gemmiger_qucibialis--GB_GCA_004000625.1,feces,1
s__Aeromonas_hydrophila--RS_GCF_000014805.1,fresh water,1
s__Xylella_fastidiosa--RS_GCF_011801475.1,biome,1
s__Streptococcus_pyogenes--RS_GCF_002055535.1,,17
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,,4
s__Streptococcus_agalactiae--RS_GCF_000186445.1,Homo sapiens,1
s__Bifidobacterium_longum--RS_GCF_000196555.1,anthropogenic terrestrial biome,15
s__Serratia_ureilytica--RS_GCF_013375155.1,soil,1
s__Lactobacillus_jensenii--RS_GCF_001436455.1,terrestrial biome,2
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,Homo sapiens,1
s__Klebsiella_variicola--RS_GCF_000828055.2,hospital,1
s__Streptococcus_thermophilus--RS_GCF_010120595.1,steppe,1
s__Bacillus_velezensis--RS_GCF_001461825.1,mediterranean biome,1
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,unidentified,1
s__Bacillus_A_paranthracis--RS_GCF_001883995.1,Homo sapiens,1
s__Vibrio_vulnificus--RS_GCF_002224265.1,,34
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,,81
s__Bacillus_safensis--RS_GCF_000691165.1,sea water,1
s__Staphylococcus_hominis--RS_GCF_002901845.1,feces,1
s__Lactococcus_lactis--RS_GCF_900099625.1,dairy food product,5
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,fresh water,2
s__Staphylococcus_hominis--RS_GCF_002901845.1,Homo sapiens,6
s__Pasteurella_multocida--RS_GCF_900187275.1,village biome,1
s__Prevotella_copri_B--RS_GCF_009494135.1,watercourse,6
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,freshwater biome,12
s__Staphylococcus_capitis--RS_GCF_002902325.1,alpine,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,table,1
s__Thomasclavelia_ramosa--RS_GCF_014131695.1,terrestrial biome,3
s__Bacillus_A_bombysepticus--RS_GCF_006384875.1,sea water,1
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,village,1
s__Bacillus_velezensis--RS_GCF_001461825.1,,58
s__Staphylococcus_capitis--RS_GCF_002902325.1,,8
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,human-associated habitat,2
s__Bacillus_licheniformis--RS_GCF_000011645.1,Bos taurus,1
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,agricultural ecosystem,1
s__Dickeya_dianthicola--RS_GCF_000365305.1,liquid water,1
s__Serratia_marcescens--RS_GCF_017299535.1,university campus,1
s__Bacteroides_fragilis--RS_GCF_000025985.1,feces,1
s__Listeria_monocytogenes--RS_GCF_900187225.1,vagina,1
s__Bacillus_A_anthracis--RS_GCF_000742895.1,,42
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,,16
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,,42
s__Priestia_megaterium--RS_GCF_000832985.1,,12
s__Lactobacillus_crispatus--RS_GCF_018987235.1,terrestrial biome,10
s__Akkermansia_muciniphila--RS_GCF_000020225.1,animal-associated environment,2
s__Enterococcus_B_faecium--RS_GCF_001544255.1,environmental system,3
s__Levilactobacillus_brevis--RS_GCF_001433855.1,biome,1
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,spring,1
s__Neisseria_meningitidis--RS_GCF_900638555.1,terrestrial biome,1
s__Citrobacter_freundii--RS_GCF_011064845.1,freshwater biome,10
